# Luminosity Distances for Increasing Redshifts
# Redshift, Luminosity Distance
0.0001,27.3858665941
0.0002,28.8927771713
0.0003,29.7749915895
0.0004,30.4014409243
0.0005,30.8877441745
0.0006,31.285401128
0.0007,31.6218833422
0.0008,31.9135888906
0.0009,32.1710948684
0.001,32.4016232433
0.0011,32.6103251525
0.0012,32.8010040062
0.0013,32.9765481572
0.0014,33.1392027688
0.0015,33.2907476599
0.0016,33.4326176362
0.0017,33.5659862767
0.0018,33.6918257354
0.0019,33.8109503524
0.002,33.9240490658
0.0021,34.0317099077
0.0022,34.1344387958
0.0023,34.2326741449
0.0024,34.3267983666
0.0025,34.4171470191
0.0026,34.5040161622
0.0027,34.587668323
0.0028,34.6683373765
0.0029,34.746232569
0.003,34.8215418594
0.0031,34.894434712
0.0032,34.9650644468
0.0033,35.0335702265
0.0034,35.1000787481
0.0035,35.1647056888
0.0036,35.2275569475
0.0037,35.2887297176
0.0038,35.3483134151
0.0039,35.4063904873
0.004,35.4630371188
0.0041,35.5183238497
0.0042,35.5723161203
0.0043,35.6250747509
0.0044,35.6766563669
0.0045,35.7271137757
0.0046,35.7764963029
0.0047,35.8248500911
0.0048,35.8722183688
0.0049,35.9186416904
0.005,35.9641581521
0.0051,36.0088035872
0.0052,36.0526117414
0.0053,36.0956144321
0.0054,36.1378416926
0.0055,36.179321903
0.0056,36.2200819093
0.0057,36.2601471322
0.0058,36.2995416661
0.0059,36.33828837
0.006,36.3764089503
0.0061,36.4139240371
0.0062,36.4508532545
0.0063,36.4872152843
0.0064,36.5230279264
0.0065,36.5583081523
0.0066,36.5930721567
0.0067,36.6273354037
0.0068,36.6611126702
0.0069,36.6944180861
0.007,36.7272651715
0.0071,36.7596668711
0.0072,36.791635587
0.0073,36.8231832079
0.0074,36.8543211374
0.0075,36.8850603201
0.0076,36.9154112658
0.0077,36.9453840723
0.0078,36.9749884466
0.0079,37.0042337249
0.008,37.0331288911
0.0081,37.0616825946
0.0082,37.0899031663
0.0083,37.1177986345
0.0084,37.145376739
0.0085,37.1726449451
0.0086,37.199610456
0.0087,37.2262802256
0.0088,37.252660969
0.0089,37.2787591742
0.009,37.3045811116
0.0091,37.330132844
0.0092,37.3554202354
0.0093,37.3804489597
0.0094,37.405224509
0.0095,37.429752201
0.0096,37.4540371866
0.0097,37.4780844566
0.0098,37.5018988484
0.0099,37.5254850519
0.01,37.548847616
0.0101,37.5719909539
0.0102,37.5949193482
0.0103,37.6176369566
0.0104,37.640147816
0.0105,37.6624558478
0.0106,37.6845648619
0.0107,37.7064785609
0.0108,37.7282005442
0.0109,37.7497343118
0.011,37.7710832679
0.0111,37.7922507244
0.0112,37.813239904
0.0113,37.8340539436
0.0114,37.8546958976
0.0115,37.8751687399
0.0116,37.8954753678
0.0117,37.9156186036
0.0118,37.9356011979
0.0119,37.9554258316
0.012,37.9750951186
0.0121,37.9946116076
0.0122,38.0139777844
0.0123,38.0331960741
0.0124,38.0522688431
0.0125,38.0711984006
0.0126,38.0899870008
0.0127,38.1086368446
0.0128,38.127150081
0.0129,38.145528809
0.013,38.163775079
0.0131,38.1818908945
0.0132,38.1998782131
0.0133,38.2177389484
0.0134,38.2354749709
0.0135,38.2530881095
0.0136,38.2705801526
0.0137,38.2879528496
0.0138,38.3052079115
0.0139,38.3223470124
0.014,38.3393717906
0.0141,38.3562838493
